loan_number,installment_no,amount,paid_date,payment_method,currency,exchange_rate,reference_number,note
008870,6-2022,335,2022-06-26,ABA,USD,1,0088701,
008063,7-2022,170,2022-07-05,ABA,USD,1,0080631,
001501,7-2022,167.19,2022-07-02,ABA,USD,1,0015012,
001460,6-2022,122.96,2022-06-15,ABA,USD,1,0014601,
001466,7-2022,106.43,2022-07-06,Cash,USD,1,0014661,
001467,7-2022,42.37,2022-07-07,Cash,USD,1,0014671,
001472,7-2022,142.62,2022-07-08,ABA,USD,1,0014721,
001508,7-2022,64.7,2022-07-08,WING,USD,1,0015082,
001469,7-2022,85.77,2022-07-07,ABA,USD,1,0014691,
001456,6-2022,78.53,2022-06-29,WING,USD,1,0014561,
001468,7-2022,65.1,2022-07-08,ABA,USD,1,0014681,
001526,7-2022,82.13,2022-07-09,ABA,USD,1,0015261,
001464,7-2022,127,2022-07-10,WING,USD,1,0014641,
001505,7-2022,518.96,2022-07-10,Cash,USD,1,0015051,"by Nith"
001520,7-2022,180.2,2022-07-11,Cash,USD,1,0015202,
001514,7-2022,133.3,2022-07-12,ABA,USD,1,0015142,
001451,7-2022,129.99,2022-07-12,ABA,USD,1,0014512,
001457,7-2022,110.57,2022-07-12,ABA,USD,1,0014572,
001453,7-2022,41.33,2022-07-12,ACELEDA,USD,1,0014532,
001477,7-2022,63.03,2022-07-14,Cash,USD,1,0014771,
002570,7-2022,100,2022-07-17,Cash,USD,1,0025701,
001521,7-2022,68.29,2022-07-19,WING,USD,1,0015212,
001516,7-2022,36.17,2022-07-13,WING,USD,1,0015162,
001473,7-2022,98.17,2022-07-16,ABA,USD,1,0014731,
001533,7-2022,96.1,2022-07-18,WING,USD,1,0015331,
001456,7-2022,78.53,2022-07-19,WING,USD,1,0014562,
006723,7-2022,75.43,2022-07-19,WING,USD,1,0067231,
001510,7-2022,117.81,2022-07-18,ABA,USD,1,0015102,
001476,7-2022,56,2022-07-19,Cash,USD,1,0014761,
0001866,7-2022,70,2022-07-20,ABA,USD,1,0001861,
001539,7-2022,126.89,2022-07-20,Cash,USD,1,0015391,
AACB8ED9,7-2022,25,2022-07-21,Cash,USD,1,AACB8ED91,
001518,7-2022,64,2022-07-20,WING,USD,1,0015182,
001518,7-2022,206.8,2022-07-22,Cash,USD,1,0015183,"គាត់បង់ល្អ ដូចនេះ សម្រួលការប្រាក់"
001455,7-2022,44.43,2022-07-22,ABA,USD,1,0014552,"គាត់បង់ល្អ ដូចនេះ សម្រួលការប្រាក់"
001459,7-2022,57.87,2022-07-20,ABA,USD,1,0014592,
001526,7-2022,155.47,2022-07-23,Cash,USD,1,0015262,
001511,7-2022,150,2022-07-11,ABA,USD,1,0015112,
001541,7-2022,135.37,2022-07-23,ABA,USD,1,0015411,
001523,7-2022,36.16,2022-07-23,WING,USD,1,0015232,
001460,7-2022,122.97,2022-07-25,ABA,USD,1,0014602,
001543,7-2022,51.25,2022-07-25,ABA,USD,1,0015431,
001529,7-2022,44.43,2022-07-27,Cash,USD,1,0015292,
001527,7-2022,75.23,2022-07-28,Cash,USD,1,0015272,
001504,7-2022,100.23,2022-07-29,ABA,USD,1,0015043,
001481,7-2022,38,2022-07-29,WING,USD,1,0014811,
000067,7-2022,90.93,2022-07-29,Cash,USD,1,0000671,
001480,7-2022,104.37,2022-07-30,WING,USD,1,0014801,
001528,7-2022,85,2022-07-30,ABA,USD,1,0015281,
001545,8-2022,74.67,2022-08-01,Cash,USD,1,0015451,
001995,8-2022,73.73,2022-08-01,Cash,USD,1,0019951,
001534,8-2022,67.17,2022-08-01,Cash,USD,1,0015342,
001531,7-2022,61,2022-07-02,ABA,USD,1,0015312,
001531,8-2022,61.6,2022-08-02,ABA,USD,1,0015313,
001465,8-2022,160.7,2022-08-03,Cash,USD,1,0014652,
000054,8-2022,65.33,2022-08-04,Cash,USD,1,0000541,
001479,8-2022,173.6,2022-08-05,ABA,USD,1,0014791,
001506,8-2022,181.07,2022-08-06,ABA,USD,1,0015063,ផ្ដាច់
001466,8-2022,106.43,2022-08-06,Cash,USD,1,0014662,
000064,8-2022,234,2022-08-08,Cash,USD,1,0000641,
000056,8-2022,149.33,2022-08-08,ABA,USD,1,0000561,
001463,8-2022,75.43,2022-08-10,Cash,USD,1,0014632,
001459,8-2022,57.87,2022-08-10,ABA,USD,1,0014593,
000065,8-2022,69.07,2022-08-10,Cash,USD,1,0000651,
001474,8-2022,44.43,2022-08-11,Cash,USD,1,0014741,
001474,7-2022,44.43,2022-07-07,Cash,USD,1,0014742,
001517,7-2022,27.9,2022-07-12,ABA,USD,1,0015172,
001517,8-2022,95.4,2022-08-11,ABA,USD,1,0015173,
001507,7-2022,43,2022-07-07,WING,USD,1,0015072,
001507,8-2022,43,2022-08-11,Cash,USD,1,0015073,
001472,8-2022,71.3,2022-08-12,ABA,USD,1,0014722,
001546,8-2022,54.77,2022-08-12,Cash,USD,1,0015461,
000082,8-2022,98.17,2022-08-13,ABA,USD,1,0000821,
001516,8-2022,36.17,2022-08-14,WING,USD,1,0015163,
001516,8-2022,94.49,2022-08-14,Cash,USD,1,0015164,
001508,8-2022,128.77,2022-08-14,WING,USD,1,0015083,
001514,8-2022,133.3,2022-08-14,ABA,USD,1,0015143,
001521,8-2022,68.29,2022-08-15,WING,USD,1,0015213,
000079,8-2022,84,2022-08-15,WING,USD,1,0000791,
000059,8-2022,121.73,2022-08-15,ABA,USD,1,0000591,
001489,8-2022,42.37,2022-08-10,ABA,USD,1,0014891,
000057,8-2022,102.67,2022-08-15,ABA,USD,1,0000571,
000070,8-2022,100,2022-08-15,ABA,USD,1,0000701,
001486,8-2022,76.53,2022-08-15,WING,USD,1,0014861,
001482,8-2022,42,2022-08-15,WING,USD,1,0014821,
000053,8-2022,61.6,2022-08-15,ABA,USD,1,0000531,
000051,8-2022,76.53,2022-08-15,ABA,USD,1,0000511,
001547,8-2022,46.5,2022-08-15,ABA,USD,1,0015471,
001484,8-2022,654.16,2022-08-15,Cash,USD,1,0014841,
000058,8-2022,163.53,2022-08-16,ACELEDA,USD,1,0000581,
001485,8-2022,80.27,2022-08-16,ABA,USD,1,0014851,
000060,8-2022,121.93,2022-08-16,ACELEDA,USD,1,0000601,
006723,8-2022,75.43,2022-08-16,WING,USD,1,0067232,
001490,8-2022,57.87,2022-08-16,WING,USD,1,0014901,
000052,8-2022,113.75,2022-08-16,ACELEDA,USD,1,0000521,
000061,8-2022,65.1,2022-08-16,ABA,USD,1,0000611,
001478,8-2022,119.66,2022-08-16,WING,USD,1,0014781,
001478,8-2022,119.66,2022-08-16,WING,USD,1,0014782,
001540,7-2022,181.66,2022-07-16,ABA,USD,1,0015401,
001519,8-2022,42.88,2022-08-16,ABA,USD,1,0015191,
001537,8-2022,121.73,2022-08-09,ABA,USD,1,0015371,
001473,8-2022,98.17,2022-08-17,ABA,USD,1,0014732,
000076,8-2022,135.37,2022-08-17,ABA,USD,1,0000761,
001054,8-2022,325,2022-08-17,Cash,USD,1,0010541,
001055,8-2022,95.9,2022-08-17,Cash,USD,1,0010551,
000062,8-2022,62,2022-08-19,ABA,USD,1,0000621,
001468,8-2022,65.1,2022-08-19,ABA,USD,1,0014682,
001467,8-2022,42.37,2022-08-19,ABA,USD,1,0014672,
001533,7-2022,96.1,2022-07-20,WING,USD,1,0015332,
001533,8-2022,96.1,2022-08-20,WING,USD,1,0015333,
001524,7-2022,110.57,2022-07-20,ABA,USD,1,0015242,
001538,7-2022,103.33,2022-07-20,ACELEDA,USD,1,0015381,
001469,8-2022,85.77,2022-08-20,ABA,USD,1,0014692,
001453,8-2022,41.33,2022-08-20,ACELEDA,USD,1,0014533,
000068,8-2022,52.7,2022-08-20,ABA,USD,1,0000681,
001461,7-2022,110.13,2022-07-20,ABA,USD,1,0014611,
001461,8-2022,110.13,2022-08-20,ABA,USD,1,0014612,
000066,8-2022,329.4,2022-08-20,Cash,USD,1,0000661,
001477,8-2022,63.03,2022-08-20,Cash,USD,1,0014772,
000071,8-2022,73.37,2022-08-21,Cash,USD,1,0000711,
001524,8-2022,110.57,2022-08-21,ABA,USD,1,0015243,
001510,8-2022,388.26,2022-08-21,Cash,USD,1,0015103,
001538,8-2022,103.33,2022-08-21,ACELEDA,USD,1,0015382,
001476,8-2022,56,2022-08-22,Cash,USD,1,0014762,
001541,8-2022,135.37,2022-08-23,ABA,USD,1,0015412,
001455,8-2022,44.43,2022-08-23,ABA,USD,1,0014553,
001540,8-2022,181.66,2022-08-23,ABA,USD,1,0015402,
001501,8-2022,167.19,2022-08-02,ABA,USD,1,0015013,
001491,8-2022,150,2022-08-23,ABA,USD,1,0014911,
001511,8-2022,150,2022-08-12,ABA,USD,1,0015113,
001503,8-2022,87.73,2022-08-24,ABA,USD,1,0015033,
001508,8-2022,102.06,2022-08-24,Cash,USD,1,0015084,
001464,8-2022,127,2022-08-10,WING,USD,1,0014642,
001528,7-2022,85.87,2022-07-26,ABA,USD,1,0015282,
001528,8-2022,85,2022-08-11,ABA,USD,1,0015283,
001539,8-2022,126.89,2022-08-25,Cash,USD,1,0015392,
000072,8-2022,80.27,2022-08-25,Cash,USD,1,0000721,
001458,7-2022,41.33,2022-07-25,ABA,USD,1,0014582,
000073,8-2022,42.37,2022-08-25,Cash,USD,1,0000731,
001544,8-2022,80.2,2022-08-26,ACELEDA,USD,1,0015442,
001536,7-2022,113.87,2022-07-26,Cash,USD,1,0015361,
001529,8-2022,44.43,2022-08-26,Cash,USD,1,0015293,
001458,8-2022,41.33,2022-08-26,ABA,USD,1,0014583,
000075,8-2022,74.4,2022-08-26,ABA,USD,1,0000751,
001481,8-2022,38,2022-08-26,ACELEDA,USD,1,0014812,
001543,8-2022,51.25,2022-08-26,Cash,USD,1,0015432,
001523,8-2022,36.17,2022-08-27,WING,USD,1,0015233,
001457,8-2022,110.57,2022-08-10,ABA,USD,1,0014573,
000074,8-2022,23.77,2022-08-27,WING,USD,1,0000741,
000080,8-2022,62,2022-08-28,Cash,USD,1,0000801,
000078,8-2022,62,2022-08-29,WING,USD,1,0000781,
001069,8-2022,192.4,2022-08-30,Cash,USD,1,0010691,
000089,8-2022,41.33,2022-08-30,ABA,USD,1,0000891,
000312,8-2022,58.9,2022-08-30,Cash,USD,1,0003121,
000081,8-2022,170,2022-08-30,ABA,USD,1,0000811,
000090,8-2022,44.43,2022-08-31,WING,USD,1,0000901,
001530,7-2022,60.49,2022-07-27,WING,USD,1,0015302,
000068,8-2022,222.7,2022-08-31,Cash,USD,1,0000682,
000083,9-2022,74.4,2022-09-01,Cash,USD,1,0000831,
000316,9-2022,115.73,2022-09-01,WING,USD,1,0003161,
000323,9-2022,74.25,2022-09-01,Cash,USD,1,0003231,
000067,9-2022,90.93,2022-09-01,Cash,USD,1,0000672,
001534,9-2022,67.17,2022-09-02,Cash,USD,1,0015343,
001078,9-2022,245,2022-09-02,Cash,USD,1,0010781,
001496,9-2022,97.2,2022-09-03,ABA,USD,1,0014961,
000087,9-2022,87,2022-09-03,"TRUE MONEY",USD,1,0000871,
000084,9-2022,72,2022-09-03,ABA,USD,1,0000841,
001519,9-2022,42.88,2022-09-03,ABA,USD,1,0015192,
001530,8-2022,60.49,2022-08-08,WING,USD,1,0015303,
001485,9-2022,80.2,2022-09-03,ABA,USD,1,0014852,
000052,9-2022,113.75,2022-09-03,ACELEDA,USD,1,0000522,
000051,9-2022,76.53,2022-09-03,ABA,USD,1,0000512,
001461,9-2022,110.13,2022-09-03,ABA,USD,1,0014613,
001451,8-2022,129.99,2022-08-11,ABA,USD,1,0014513,
001460,8-2022,122.96,2022-08-31,ABA,USD,1,0014603,
000321,9-2022,318.6,2022-09-04,Cash,USD,1,0003211,
000301,9-2022,56.83,2022-09-04,ABA,USD,1,0003011,
000306,9-2022,59.73,2022-09-04,WING,USD,1,0003061,
000054,9-2022,130.67,2022-09-04,Cash,USD,1,0000542,
001499,9-2022,58,2022-09-04,WING,USD,1,0014991,
001064,9-2022,60,2022-09-04,Cash,USD,1,0010641,
000096,9-2022,84.73,2022-09-05,ABA,USD,1,0000961,
000304,9-2022,81.63,2022-09-05,WING,USD,1,0003041,
001501,9-2022,167.19,2022-09-05,ABA,USD,1,0015014,
000302,9-2022,85.77,2022-09-05,WING,USD,1,0003021,
000095,9-2022,57.5,2022-09-05,ABA,USD,1,0000951,
001537,9-2022,423.67,2022-09-05,Cash,USD,1,0015372,
001494,8-2022,36.17,2022-08-31,WING,USD,1,0014941,
000303,9-2022,100,2022-09-05,ABA,USD,1,0003031,
001497,9-2022,170.1,2022-09-05,Cash,USD,1,0014971,
000309,9-2022,78.53,2022-09-06,Cash,USD,1,0003091,
000092,9-2022,47.53,2022-09-06,ABA,USD,1,0000921,
000100,9-2022,115.73,2022-09-06,ACELEDA,USD,1,0001001,
001498,9-2022,80.27,2022-09-06,ABA,USD,1,0014981,
000305,9-2022,54.77,2022-09-06,ABA,USD,1,0003051,
000099,9-2022,216.53,2022-09-06,ABA,USD,1,0000991,
001479,9-2022,173.6,2022-09-06,ABA,USD,1,0014792,
001068,9-2022,57.87,2022-09-06,WING,USD,1,0010681,
000093,9-2022,176.7,2022-09-06,ABA,USD,1,0000931,
001466,9-2022,106.43,2022-09-06,Cash,USD,1,0014663,
000093,9-2022,746.7,2022-09-06,Cash,USD,1,0000932,
000079,9-2022,84,2022-09-07,Cash,USD,1,0000792,
000051,9-2022,76.54,2022-09-07,ABA,USD,1,0000513,
000057,9-2022,102.67,2022-09-07,ABA,USD,1,0000572,
000307,9-2022,177.33,2022-09-07,ACELEDA,USD,1,0003071,
001495,9-2022,91.47,2022-09-07,WING,USD,1,0014951,
000086,9-2022,199,2022-09-07,ABA,USD,1,0000861,
000091,9-2022,43.4,2022-09-07,Cash,USD,1,0000911,
001480,8-2022,104.37,2022-08-10,WING,USD,1,0014802,
000056,9-2022,149.33,2022-09-07,ABA,USD,1,0000562,
001468,9-2022,65.1,2022-09-08,ABA,USD,1,0014683,
000314,9-2022,69.7,2022-09-09,WING,USD,1,0003141,
001530,9-2022,61,2022-09-09,WING,USD,1,0015304,
000319,9-2022,77.5,2022-09-09,ABA,USD,1,0003191,
000053,9-2022,61.6,2022-09-09,WING,USD,1,0000532,
001470,9-2022,206.6,2022-09-09,WING,USD,1,0014701,
001472,9-2022,71.3,2022-09-10,ABA,USD,1,0014723,
001467,9-2022,42.37,2022-09-10,ABA,USD,1,0014673,
001511,9-2022,225,2022-09-10,ABA,USD,1,0015114,
000317,9-2022,87.83,2022-09-10,WING,USD,1,0003171,
001469,9-2022,85.77,2022-09-09,ABA,USD,1,0014693,
000318,9-2022,51.67,2022-09-10,ABA,USD,1,0003181,
000062,9-2022,62,2022-09-10,Cash,USD,1,0000622,
001489,9-2022,42.37,2022-09-11,ABA,USD,1,0014892,
001060,9-2022,47.53,2022-09-11,ABA,USD,1,0010601,
000088,9-2022,41.33,2022-09-11,WING,USD,1,0000881,
001507,9-2022,42.25,2022-09-11,WING,USD,1,0015074,
000315,9-2022,48.57,2022-09-11,WING,USD,1,0003151,
001546,9-2022,55,2022-09-11,Cash,USD,1,0015462,
001464,9-2022,127,2022-09-11,WING,USD,1,0014643,
001514,9-2022,133.3,2022-09-12,ABA,USD,1,0015144,
001482,9-2022,42,2022-09-12,WING,USD,1,0014822,
001451,9-2022,129.99,2022-09-12,ABA,USD,1,0014514,
001474,9-2022,44.43,2022-09-13,Cash,USD,1,0014743,
001453,9-2022,41.33,2022-09-13,ACELEDA,USD,1,0014534,
001485,9-2022,56.84,2022-09-13,Cash,USD,1,0014853,កាត់កន្ទុយចោល
000061,9-2022,65.1,2022-09-13,ABA,USD,1,0000612,
001547,9-2022,46.5,2022-09-14,ABA,USD,1,0015472,
001052,9-2022,144.67,2022-09-14,ABA,USD,1,0010521,
0010553,9-2022,110.36,2022-09-14,ABA,USD,1,00105531,
001457,9-2022,288.89,2022-09-14,ABA,USD,1,0014574,
001051,9-2022,173.6,2022-09-14,ABA,USD,1,0010511,
000322,9-2022,171.73,2022-09-14,ABA,USD,1,0003221,
001521,9-2022,68.29,2022-09-15,WING,USD,1,0015214,
000324,9-2022,84.73,2022-09-15,ABA,USD,1,0003241,
001465,9-2022,160.99,2022-09-15,ABA,USD,1,0014653,
001995,9-2022,73.73,2022-09-15,Cash,USD,1,0019952,
000070,9-2022,100,2022-09-15,WING,USD,1,0000702,
001473,9-2022,98.17,2022-09-15,ABA,USD,1,0014733,
001490,9-2022,56.87,2022-09-15,WING,USD,1,0014902,
001066,9-2022,76.47,2022-09-16,ACELEDA,USD,1,0010661,
000082,9-2022,98.17,2022-09-16,ABA,USD,1,0000822,
001480,9-2022,104.37,2022-09-17,WING,USD,1,0014803,
000154,9-2022,639.6,2022-09-18,Cash,USD,1,0001541,
001057,9-2022,125,2022-09-18,ABA,USD,1,0010571,
001063,9-2022,98.17,2022-09-19,WING,USD,1,0010631,
000065,9-2022,130.73,2022-09-19,Cash,USD,1,0000652,
001058,9-2022,88.87,2022-09-20,ABA,USD,1,0010581,
001061,9-2022,53.77,2022-09-20,ABA,USD,1,0010611,
001478,9-2022,119,2022-09-20,WING,USD,1,0014783,
001490,9-2022,58.86,2022-09-20,Cash,USD,1,0014903,បានបង់ផ្ដាច់ដោយឈឿនរាជ
001529,9-2022,44.43,2022-09-21,Cash,USD,1,0015294,បង់លើកទីបួន
001062,9-2022,65.1,2022-09-21,Cash,USD,1,0010621,
001065,9-2022,44.15,2022-09-21,WING,USD,1,0010651,
001533,9-2022,92.1,2022-09-21,WING,USD,1,0015334,
001067,9-2022,74.67,2022-09-21,ABA,USD,1,0010671,
000071,9-2022,74,2022-09-22,Cash,USD,1,0000712,
000086,9-2022,445,2022-09-22,ABA,USD,1,0000862,
001486,9-2022,77,2022-09-22,WING,USD,1,0014862,
000100,9-2022,115.73,2022-09-24,ACELEDA,USD,1,0001002,
001544,9-2022,151.94,2022-09-26,Cash,USD,1,0015443,
001074,9-2022,436.8,2022-09-27,Cash,USD,1,0010741,
001458,9-2022,41.33,2022-09-26,ABA,USD,1,0014584,
001538,9-2022,100,2022-09-28,ABA,USD,1,0015383,
001076,9-2022,126.15,2022-09-27,ABA,USD,1,0010761,
001070,9-2022,37.82,2022-09-23,ABA,USD,1,0010701,
001059,9-2022,97.15,2022-09-23,ABA,USD,1,0010591,
001481,9-2022,38,2022-09-25,ACELEDA,USD,1,0014813,
001073,9-2022,43.4,2022-09-28,WING,USD,1,0010731,
001543,9-2022,51.25,2022-09-27,ABA,USD,1,0015433,
000053,9-2022,61.6,2022-09-28,Cash,USD,1,0000533,
000078,9-2022,62,2022-09-28,WING,USD,1,0000782,
000325,9-2022,53,2022-09-28,ABA,USD,1,0003251,
001077,9-2022,56,2022-09-29,Cash,USD,1,0010771,
000057,9-2022,102.66,2022-09-29,ABA,USD,1,0000573,
000080,9-2022,62,2022-09-29,ABA,USD,1,0000802,
001460,9-2022,122.96,2022-09-29,ABA,USD,1,0014604,
000083,9-2022,74,2022-09-30,ABA,USD,1,0000832,
000312,9-2022,58.9,2022-09-30,Cash,USD,1,0003122,
001089,9-2022,181.07,2022-09-30,ABA,USD,1,0010891,
000073,9-2022,42.37,2022-09-30,ABA,USD,1,0000732,
000072,9-2022,80.27,2022-09-30,ABA,USD,1,0000722,
001079,9-2022,101,2022-09-30,WING,USD,1,0010791,
000075,9-2022,75,2022-09-30,Cash,USD,1,0000752,
001455,9-2022,44.33,2022-09-30,ABA,USD,1,0014554,
000090,10-2022,44.43,2022-10-01,Cash,USD,1,0000902,
001474,10-2022,44.43,2022-10-01,Cash,USD,1,0014744,
001468,10-2022,170.1,2022-10-01,Cash,USD,1,0014684,
000067,10-2022,91,2022-10-01,Cash,USD,1,0000673,
001504,10-2022,100.23,2022-10-01,Cash,USD,1,0015044,
000323,10-2022,74.25,2022-10-01,Cash,USD,1,0003232,
000326,10-2022,203.47,2022-10-01,WING,USD,1,0003261,
000084,10-2022,72,2022-10-01,ABA,USD,1,0000842,
001501,10-2022,167.19,2022-10-02,ABA,USD,1,0015015,
000074,10-2022,23.77,2022-10-02,ABA,USD,1,0000742,
000303,10-2022,62,2022-10-02,Cash,USD,1,0003032,
001466,10-2022,106.43,2022-10-02,ABA,USD,1,0014664,
001080,10-2022,281.87,2022-10-02,ABA,USD,1,0010801,
001088,10-2022,142,2022-10-02,WING,USD,1,0010881,
001068,10-2022,57.87,2022-10-03,WING,USD,1,0010682,
001495,10-2022,91.47,2022-10-03,WING,USD,1,0014952,
000309,10-2022,78.53,2022-10-03,ABA,USD,1,0003092,
001524,9-2022,110.53,2022-09-24,ABA,USD,1,0015244,
001527,8-2022,75,2022-08-29,WING,USD,1,0015273,
001092,10-2022,41.33,2022-10-04,ABA,USD,1,0010921,
001071,9-2022,63.3,2022-09-23,ABA,USD,1,0010711,
001056,8-2022,338,2022-08-04,Cash,USD,1,0010561,
000096,10-2022,84.73,2022-10-04,ABA,USD,1,0000962,
001477,10-2022,215.54,2022-10-04,Cash,USD,1,0014773,
001497,10-2022,170.1,2022-10-04,Cash,USD,1,0014972,
000052,10-2022,114.1,2022-10-05,Cash,USD,1,0000523,
001534,10-2022,67.17,2022-10-04,ACELEDA,USD,1,0015344,
001498,10-2022,80.27,2022-10-05,ABA,USD,1,0014982,
001496,10-2022,97.2,2022-10-05,Cash,USD,1,0014962,
001097,10-2022,97.2,2022-10-05,Cash,USD,1,0010971,
001084,10-2022,41.33,2022-10-05,WING,USD,1,0010841,
000304,10-2022,81.63,2022-10-05,ABA,USD,1,0003042,
001523,10-2022,36.17,2022-10-05,WING,USD,1,0015234,
001512,7-2022,72,2022-07-05,WING,USD,1,0015122,
000327,10-2022,89.93,2022-10-06,Cash,USD,1,0003271,
000058,10-2022,274.61,2022-10-06,ABA,USD,1,0000582,
001096,10-2022,89,2022-10-06,WING,USD,1,0010961,
001472,10-2022,71.3,2022-10-06,ABA,USD,1,0014724,
000302,10-2022,85.77,2022-10-06,WING,USD,1,0003022,
000305,10-2022,54.77,2022-10-06,ABA,USD,1,0003052,
000092,10-2022,47.53,2022-10-06,ABA,USD,1,0000922,
000311,9-2022,120,2022-09-06,ABA,USD,1,0003111,
001494,10-2022,36.17,2022-10-01,WING,USD,1,0014942,
001463,9-2022,75.43,2022-09-29,ACELEDA,USD,1,0014633,
000314,10-2022,130.1,2022-10-06,Cash,USD,1,0003142,
000079,10-2022,84,2022-10-07,Cash,USD,1,0000793,
001087,10-2022,97.13,2022-10-07,Cash,USD,1,0010871,
001087,11-2022,97.13,2022-11-07,Cash,USD,1,0010872,
001527,10-2022,74.87,2022-10-06,WING,USD,1,0015274,
001098,10-2022,60,2022-10-07,ABA,USD,1,0010981,
001095,10-2022,40.3,2022-10-07,WING,USD,1,0010951,
001469,10-2022,95.77,2022-10-07,ABA,USD,1,0014694,
000099,10-2022,216.53,2022-10-07,ABA,USD,1,0000992,
001540,9-2022,181.66,2022-09-23,ABA,USD,1,0015403,
000091,10-2022,43.4,2022-10-07,Cash,USD,1,0000912,
000343,10-2022,691.6,2022-10-07,ABA,USD,1,0003431,
001064,10-2022,60,2022-10-07,Cash,USD,1,0010642,
000056,10-2022,149.34,2022-10-07,ABA,USD,1,0000563,
001479,10-2022,173.6,2022-10-08,ABA,USD,1,0014793,
000308,9-2022,53.73,2022-09-08,Cash,USD,1,0003081,
000308,10-2022,53.73,2022-10-08,Cash,USD,1,0003082,
000334,10-2022,49.6,2022-10-08,ABA,USD,1,0003341,
000087,10-2022,87,2022-10-01,WING,USD,1,0000872,
000089,10-2022,41.33,2022-10-08,ACELEDA,USD,1,0000892,
000301,10-2022,56.83,2022-10-08,ABA,USD,1,0003012,
000316,10-2022,115.73,2022-10-02,WING,USD,1,0003162,
001507,10-2022,80.75,2022-10-09,Cash,USD,1,0015075,
000069,10-2022,10,2022-10-09,ABA,USD,1,0000691,
001541,9-2022,135.37,2022-09-23,ABA,USD,1,0015413,
000349,10-2022,182.9,2022-10-09,ABA,USD,1,0003491,
000171,10-2022,32.03,2022-10-09,ABA,USD,1,0001711,
001519,10-2022,42.88,2022-10-09,ABA,USD,1,0015193,
000311,10-2022,120,2022-10-09,ABA,USD,1,0003112,
001530,10-2022,62,2022-10-09,WING,USD,1,0015304,
001094,10-2022,68.75,2022-10-09,Cash,USD,1,0010941,
000333,10-2022,82.65,2022-10-10,Cash,USD,1,0003331,
000338,10-2022,63.46,2022-10-10,WING,USD,1,0003381,
000336,10-2022,75.6,2022-10-10,Cash,USD,1,0003361,
000317,10-2022,87.83,2022-10-10,ABA,USD,1,0003172,
001546,10-2022,55,2022-10-10,WING,USD,1,0015463,
000328,10-2022,39.51,2022-10-10,WING,USD,1,0003281,
001099,10-2022,59.93,2022-10-10,Cash,USD,1,0010991,
001093,10-2022,54.71,2022-10-10,WING,USD,1,0010931,
000335,10-2022,113.87,2022-10-10,Cash,USD,1,0003351,
